campaign_name,brand,platform,funnel_stage,spend_rm,revenue_rm,impressions,clicks,add_to_cart,orders,streamer_name,slot_time
Mustela_Always-On - Sales PMax All Products MAY,Mustela,Google Ads,Conversion,1114.87,1865.0,164096.0,1061.0,71.0,21.0,,
20260101 until 15th - All products,Celimax,TikTok Shop GMV Max,Conversion,462.5,4673.63,,,,45.0,,
20260123 until 3rd Feb - All products,Celimax,TikTok Shop GMV Max,Conversion,525.85,9758.78,,,,106.0,,
20260224 until 10th March - Pay Day,Celimax,TikTok Shop GMV Max,Conversion,1139.49,17908.11,,,,191.0,,
20260317 until 31st March - Pay Day,Celimax,TikTok Shop GMV Max,Conversion,1111.24,15998.31,,,,168.0,,
20260403 until 17 April - 4.4 Sale,Celimax,TikTok Shop GMV Max,Conversion,808.39,9528.87,,,,102.0,,
20260424 until 30 April - Payday Sale,Celimax,TikTok Shop GMV Max,Conversion,115.1,1194.0,,,,13.0,,
20260505 until 19 May - 5.5 Sale,Celimax,TikTok Shop GMV Max,Conversion,891.64,8854.06,,,,97.0,,
20260525 until 31 May - Payday Sale,Celimax,TikTok Shop GMV Max,Conversion,638.16,9553.94,,,,115.0,,
20260623 until 7.7 - Pay Day Sale & 7.7,Celimax,TikTok Shop GMV Max,Conversion,511.82,10349.21,,,,130.0,,
20260125 - LIVE - Kak Kusha - 2030-2230,Celimax,TikTok Shop GMV Max LIVE,Conversion,148.88,1807.5,,,,20.0,Kak Kusha,2030-2230
20260130 - LIVE - Kak Kusha - 2030-2230,Celimax,TikTok Shop GMV Max LIVE,Conversion,175.51,1612.0,,,,16.0,Kak Kusha,2030-2230
20260201 - LIVE - Kak Kusha - 2030-2230,Celimax,TikTok Shop GMV Max LIVE,Conversion,36.37,1796.25,,,,17.0,Kak Kusha,2030-2230
20260226- LIVE - Kak Kusha - 2030-0000,Celimax,TikTok Shop GMV Max LIVE,Conversion,263.43,4016.0,,,,34.0,Kak Kusha,2030-0000
20260228- LIVE - Kak Kusha - 2030-0000,Celimax,TikTok Shop GMV Max LIVE,Conversion,257.58,1802.18,,,,17.0,Kak Kusha,2030-0000
20260401 - Kak Kusha - 2000-2300,Celimax,TikTok Shop GMV Max LIVE,Conversion,288.47,2350.47,,,,20.0,Kak Kusha,2000-2300
20260403 - Syahmi Alias - 1430-1600,Celimax,TikTok Shop GMV Max LIVE,Conversion,2.81,0.0,,,,0.0,Syahmi Alias,1430-1600
20260403 - Kak Kusha - 2030-2300,Celimax,TikTok Shop GMV Max LIVE,Conversion,260.95,1592.4,,,,16.0,Kak Kusha,2030-2300
20260427 - Kak Kusha Celimax Live - 2030-2230,Celimax,TikTok Shop GMV Max LIVE,Conversion,418.72,3736.85,,,,24.0,Kak Kusha,2030-2230
20260501 - Kak Kusha Celimax Live - 2030-2230,Celimax,TikTok Shop GMV Max LIVE,Conversion,338.4,2018.06,,,,16.0,Kak Kusha,2030-2230
20260516 - NL Alchemist - Celimax Live - 1100-1400,Celimax,TikTok Shop GMV Max LIVE,Conversion,282.16,3550.1,,,,41.0,NL Alchemist,1100-1400
20260525 - NL Alchemist - 1600-1900,Celimax,TikTok Shop GMV Max LIVE,Conversion,309.65,2076.55,,,,23.0,NL Alchemist,1600-1900
20260529 - Kak Kusha Celimax Live - 2030-2230,Celimax,TikTok Shop GMV Max LIVE,Conversion,253.55,2339.1,,,,21.0,Kak Kusha,2030-2230
20260602 - Kak Kusha Celimax Live - 2030-2230,Celimax,TikTok Shop GMV Max LIVE,Conversion,85.15,2382.29,,,,24.0,Kak Kusha,2030-2230
20260605 - NL And Team Celimax Live - 0700-1000,Celimax,TikTok Shop GMV Max LIVE,Conversion,27.44,867.1,,,,8.0,NL And Team,0700-1000
20260608 - NL And Team Celimax Live - 2000-2300,Celimax,TikTok Shop GMV Max LIVE,Conversion,99.75,687.6,,,,6.0,NL And Team,2000-2300
20260610 - NL Alchemist - Celimax Live - 2000-2300,Celimax,TikTok Shop GMV Max LIVE,Conversion,372.63,1303.32,,,,14.0,NL Alchemist,2000-2300
20260614 - NL Alchemist Live - 1100-1400,Celimax,TikTok Shop GMV Max LIVE,Conversion,194.4,145.9,,,,2.0,NL Alchemist,1100-1400
20260614 - NL Alchemist - 1100-1400 (2nd),Celimax,TikTok Shop GMV Max LIVE,Conversion,385.8,1982.2,,,,22.0,NL Alchemist,1100-1400
20260621 - NL Alchemist - Celimax Live - 1400-1700,Celimax,TikTok Shop GMV Max LIVE,Conversion,180.08,1950.47,,,,23.0,NL Alchemist,1400-1700
20260622 - Farah Celimax Live - 2000-2200,Celimax,TikTok Shop GMV Max LIVE,Conversion,120.82,910.1,,,,11.0,Farah,2000-2200
20260623 - Farah Celimax Live - 1600-1800,Celimax,TikTok Shop GMV Max LIVE,Conversion,116.41,1997.3,,,,24.0,Farah,1600-1800
20260624 - Zu & Farah Celimax Live - 2000-0000,Celimax,TikTok Shop GMV Max LIVE,Conversion,277.89,2426.73,,,,29.0,Zu & Farah,2000-0000
20260625 until 30 June - Zu & Farah - Celimax Live,Celimax,TikTok Shop GMV Max LIVE,Conversion,836.83,3609.0,,,,45.0,Zu & Farah,2000-2200
20260101 until 15th - All products,Wellage,TikTok Shop GMV Max,Conversion,83.66,0.0,,,,0.0,,
20260123 until 3rd Feb- All products,Wellage,TikTok Shop GMV Max,Conversion,276.9,895.13,,,,12.0,,
20260224 until 10th March - Pay Day,Wellage,TikTok Shop GMV Max,Conversion,324.84,1241.79,,,,21.0,,
20260317 until 31st March - Pay Day,Wellage,TikTok Shop GMV Max,Conversion,377.88,2025.71,,,,28.0,,
20260424 until 30 April - Payday Sale,Wellage,TikTok Shop GMV Max,Conversion,99.1,948.72,,,,13.0,,
20260505 until 19 May - 5.5 Sale,Wellage,TikTok Shop GMV Max,Conversion,168.84,301.11,,,,4.0,,
